Date,Stock,Action,Shares,Price,Gross_Amount,Fee,Net_Amount
2026-02-17,524632.NS,BUY,240.09128032668747,41.63,10000.0,5.0,9995.0
2026-02-17,MAMATA.NS,BUY,23.14461039712863,431.85,10000.0,5.0,9995.0
2026-02-17,SHARDAMOTR.NS,BUY,10.563305854998942,946.2,10000.0,5.0,9995.0
2026-02-18,VISHNU.NS,SELL,19.14750957854406,517.05,9900.219827586205,4.950109913793103,9895.269717672412
2026-02-18,539997.NS,SELL,8.789131199437215,1453.35,12773.683828702076,6.386841914351037,12767.296986787724
2026-02-18,HAPPYFORGE.NS,SELL,8.691304347826087,1264.7,10991.892608695653,5.495946304347826,10986.396662391306
2026-02-18,SRM.NS,BUY,22.91905526255446,436.1,10000.0,5.0,9995.0
2026-02-18,GODFRYPHLP.NS,BUY,4.030648250831737,2479.75,10000.0,5.0,9995.0
2026-02-18,AEROFLEX.NS,BUY,44.13777875910797,226.45,10000.0,5.0,9995.0
2026-02-18,HAPPYFORGE.NS,BUY,7.909313919442906,1263.7,10000.0,5.0,9995.0
2026-02-18,JSL.NS,BUY,13.19559046801769,757.45,10000.0,5.0,9995.0
2026-02-18,VISHNU.NS,BUY,19.479633599688167,513.1,10000.0,5.0,9995.0
2026-02-18,524717.NS,BUY,7.719935120105044,1294.7,10000.0,5.0,9995.0
2026-02-18,NAVA.NS,BUY,17.68870011503407,565.05,10000.0,5.0,9995.0
2026-02-18,539997.NS,BUY,6.940972222222222,1440.0,10000.0,5.0,9995.0
2026-02-18,SRM.NS,SELL,22.91905526255446,436.1,9995.0,4.9975000000000005,9990.0025
2026-02-19,MAMATA.NS,SELL,23.14461039712863,433.2,10026.245224036122,5.013122612018061,10021.232101424104
2026-02-19,SHARDAMOTR.NS,SELL,10.563305854998942,977.15,10321.934316212217,5.160967158106108,10316.77334905411
2026-02-19,NAVA.NS,SELL,17.68870011503407,564.9,9992.346694982743,4.996173347491372,9987.350521635251
2026-02-19,ZFCVINDIA.NS,SELL,0.6567017082785808,15557.0,10216.30847568988,5.10815423784494,10211.200321452035
2026-02-19,544037.NS,BUY,7.6239511823035855,1311.0,10000.0,5.0,9995.0
2026-02-19,WEALTH.NS,BUY,9.629094412331408,1038.0,10000.0,5.0,9995.0
2026-02-19,SRM.NS,BUY,22.81442593015293,438.1,10000.0,5.0,9995.0
2026-02-20,SRM.NS,SELL,22.81442593015293,438.1,9994.999999999998,4.9975,9990.0025
2026-02-20,POKARNA.NS,SELL,9.080997592331803,1046.3,9501.447780856764,4.750723890428382,9496.697056966335
2026-02-20,WEALTH.NS,SELL,9.629094412331408,1038.0,9995.000000000002,4.997500000000001,9990.002500000002
2026-02-20,NAVA.NS,BUY,17.624757538353023,567.1,10000.0,5.0,9995.0
2026-02-20,SHARDAMOTR.NS,BUY,10.559399926047224,946.55,10000.0,5.0,9995.0
2026-02-20,VESUVIUS.NS,BUY,17.841842199214565,560.2,10000.0,5.0,9995.0
2026-02-21,VESUVIUS.NS,SELL,17.841842199214565,560.2,9995.0,4.9975000000000005,9990.0025
2026-02-23,GODFRYPHLP.NS,SELL,4.030648250831737,2487.8,10027.446718419196,5.013723359209599,10022.432995059986
2026-02-23,MAMATA.NS,BUY,23.21179749187181,430.6,10000.0,5.0,9995.0
2026-02-23,KRN.NS,BUY,10.890765459002996,917.75,10000.0,5.0,9995.0
2026-02-24,TRANSRAILL.NS,SELL,17.70123085096963,563.2,9969.333215266097,4.984666607633049,9964.348548658463
2026-02-24,ZFCVINDIA.NS,BUY,0.6332361885453623,15784.0,10000.0,5.0,9995.0
2026-02-24,VHLTD.NS,BUY,66.72229639519358,149.8,10000.0,5.0,9995.0
2026-02-24,TORNTPHARM.NS,BUY,2.272262259303885,4398.7,10000.0,5.0,9995.0
2026-02-25,ZFCVINDIA.NS,SELL,0.6332361885453623,15784.0,9995.0,4.9975000000000005,9990.0025
2026-02-25,VHLTD.NS,SELL,66.72229639519358,149.8,9995.0,4.9975000000000005,9990.0025
2026-02-25,WAAREEENER.NS,SELL,3.1591756748214173,3025.2,9557.13825146975,4.778569125734875,9552.359682344017
2026-02-25,506414.NS,BUY,29.38841517200823,340.1,10000.0,5.0,9995.0
2026-02-25,FOSECOIND.NS,BUY,2.0439672801636,4890.0,10000.0,5.0,9995.0
2026-02-25,SCHAEFFLER.NS,BUY,2.3427245452840806,4266.4,10000.0,5.0,9995.0
2026-02-25,TIMKEN.NS,BUY,3.003891986115077,3327.35,10000.0,5.0,9995.0
2026-02-25,TEGA.NS,BUY,5.481067149241864,1823.55,10000.0,5.0,9995.0
2026-02-26,ALPEXSOLAR.NS,SELL,10.82354215171368,748.45,8100.880123450104,4.050440061725053,8096.82968338838
2026-02-26,506414.NS,SELL,29.38841517200823,340.1,9995.0,4.9975000000000005,9990.0025
2026-02-26,FOSECOIND.NS,SELL,2.0439672801636,4890.0,9995.000000000004,4.997500000000002,9990.002500000004
2026-02-26,GUJTHEM.NS,SELL,29.53168858029251,315.1,9305.43507165017,4.652717535825086,9300.782354114346
2026-02-26,ANTELOPUS.NS,SELL,17.173539518900345,543.7,9337.25343642612,4.668626718213059,9332.584809707909
2026-02-26,MACPOWER.NS,BUY,9.965104685942174,1003.0,10000.0,5.0,9995.0
2026-02-26,VHLTD.NS,BUY,67.53378378378379,148.0,10000.0,5.0,9995.0
2026-02-26,WAAREEENER.NS,BUY,3.675443112451276,2719.4,10000.0,5.0,9995.0
2026-02-27,PRUDENT.NS,SELL,3.687919710722456,2479.0,9142.352962880968,4.571176481440484,9137.781786399528
2026-02-27,VISHNU.NS,SELL,19.479633599688167,506.85,9873.252290001948,4.936626145000974,9868.315663856947
2026-02-27,524717.NS,SELL,7.719935120105044,247.5,1910.6839422259984,0.9553419711129992,1909.728600254885
2026-02-27,VHLTD.NS,SELL,67.53378378378379,148.0,9995.0,4.9975000000000005,9990.0025
2026-02-27,SHARDAMOTR.NS,SELL,10.559399926047224,955.3,10087.394749352912,5.043697374676456,10082.351051978236
2026-02-27,GANDHITUBE.NS,SELL,10.86413043478261,890.45,9673.964945652177,4.836982472826088,9669.12796317935
2026-02-27,ECLERX.NS,SELL,2.508155583437892,3303.75,8286.319008782935,4.143159504391468,8282.175849278543
2026-02-27,MACPOWER.NS,SELL,9.965104685942174,1003.0,9995.0,4.9975000000000005,9990.0025
2026-02-27,WAAREEENER.NS,SELL,3.675443112451276,2719.4,9995.0,4.9975000000000005,9990.0025
2026-02-27,ALPEXSOLAR.NS,BUY,12.983048645840098,769.85,10000.0,5.0,9995.0
2026-02-27,TRANSRAILL.NS,BUY,17.712209817472978,564.3,10000.0,5.0,9995.0
2026-02-28,GANDHITUBE.NS,BUY,11.44247281053234,873.5,10000.0,5.0,9995.0
2026-03-02,GANDHITUBE.NS,SELL,11.44247281053234,873.5,9995.0,4.9975000000000005,9990.0025
2026-03-02,TEGA.NS,SELL,5.481067149241864,1817.7,9962.935757176936,4.981467878588468,9957.954289298348
2026-03-02,ENGINERSIN.NS,SELL,44.07938257993385,221.75,9774.603087100331,4.887301543550166,9769.715785556782
2026-03-02,ALPEXSOLAR.NS,SELL,12.983048645840098,769.85,9995.0,4.9975000000000005,9990.0025
2026-03-02,MAMATA.NS,SELL,23.21179749187181,437.75,10160.964352066883,5.080482176033443,10155.883869890851
2026-03-02,TRANSRAILL.NS,SELL,17.712209817472978,565.0,10007.398546872231,5.0036992734361165,10002.394847598796
2026-03-02,ANTELOPUS.NS,BUY,18.57288859983276,538.15,10000.0,5.0,9995.0
2026-03-02,VHLTD.NS,BUY,67.08053691275168,149.0,10000.0,5.0,9995.0
2026-03-03,BORANA.NS,SELL,26.452295884610297,379.15,10029.387984649991,5.014693992324997,10024.373290657668
2026-03-04,TORNTPHARM.NS,SELL,2.272262259303885,4369.2,9927.968263350534,4.963984131675267,9923.00427921886
2026-03-04,NAVA.NS,SELL,17.624757538353023,576.75,10165.078910245104,5.082539455122553,10159.996370789982
2026-03-04,HDFCAMC.NS,SELL,3.548352740698665,2649.8,9402.425092303323,4.701212546151662,9397.723879757172
2026-03-04,TIMKEN.NS,SELL,3.003891986115077,3373.1,10132.428058364769,5.066214029182383,10127.361844335584
2026-03-04,RPEL.NS,SELL,13.104759407368558,685.05,8977.41543201783,4.488707716008915,8972.92672430182
2026-03-04,SCHAEFFLER.NS,SELL,2.3427245452840806,4305.7,10087.069074629666,5.043534537314833,10082.02554009235
2026-03-04,AEROFLEX.NS,SELL,44.13777875910797,225.83,9967.634577169352,4.983817288584676,9962.650759880768
2026-03-04,ECLERX.NS,BUY,3.1019660785500363,3222.15,10000.0,5.0,9995.0
2026-03-04,524717.NS,BUY,39.38916256157636,253.75,10000.0,5.0,9995.0
2026-03-05,ECLERX.NS,SELL,3.1019660785500363,3222.15,9995.0,4.9975000000000005,9990.0025
2026-03-05,GPIL.NS,SELL,38.41128319434304,247.05,9489.507513162447,4.744753756581225,9484.762759405869
2026-03-05,RPEL.NS,BUY,14.726683365257108,678.7,10000.0,5.0,9995.0
2026-03-05,SCHAEFFLER.NS,BUY,2.330244215189136,4289.25,10000.0,5.0,9995.0
2026-03-05,TIMKEN.NS,BUY,2.979268819768395,3354.85,10000.0,5.0,9995.0
2026-03-05,BORANA.NS,BUY,26.052391502671707,383.65,10000.0,5.0,9995.0
2026-03-05,AEROFLEX.NS,BUY,44.71035562513979,223.55,10000.0,5.0,9995.0
2026-03-09,AEROFLEX.NS,SELL,44.71035562513979,220.24,9847.008722880788,4.923504361440394,9842.085218519347
2026-03-09,AIIL.NS,SELL,20.076328211308628,432.15,8675.985236517023,4.337992618258512,8671.647243898764
2026-03-09,TIMKEN.NS,SELL,2.979268819768395,3385.4,10086.016662443926,5.043008331221963,10080.973654112704
2026-03-09,JSL.NS,SELL,13.19559046801769,752.25,9926.382929566307,4.963191464783153,9921.419738101524
2026-03-09,VHLTD.NS,SELL,67.08053691275168,149.09,10001.037248322147,5.000518624161074,9996.036729697988
2026-03-09,RPEL.NS,SELL,14.726683365257108,684.95,10087.041771032857,5.043520885516428,10081.99825014734
2026-03-09,SCHAEFFLER.NS,SELL,2.330244215189136,4325.8,10080.170426065164,5.040085213032582,10075.13034085213
2026-03-10,RPEL.NS,BUY,14.285714285714286,699.65,10000.0,5.0,9995.0
2026-03-10,AIIL.NS,BUY,20.627386234650707,484.55,10000.0,5.0,9995.0
2026-03-10,GPIL.NS,BUY,39.404691504041,253.65,10000.0,5.0,9995.0
2026-03-10,TIMKEN.NS,BUY,2.996103117505996,3336.0,10000.0,5.0,9995.0
2026-03-10,VHLTD.NS,BUY,67.53378378378379,148.0,10000.0,5.0,9995.0
2026-03-10,AEROFLEX.NS,BUY,45.32879818594105,220.5,10000.0,5.0,9995.0
2026-03-11,VHLTD.NS,SELL,67.53378378378379,148.0,9995.0,4.9975000000000005,9990.0025
2026-03-11,SAFEENTP.NS,SELL,36.398397669337214,240.4,8750.174799708666,4.375087399854333,8745.799712308812
2026-03-12,RPEL.NS,SELL,14.285714285714286,690.5,9864.285714285716,4.932142857142858,9859.353571428574
2026-03-12,SOLARINDS.NS,SELL,0.7446174476644565,14513.6,10807.079788422856,5.403539894211428,10801.676248528644
2026-03-12,506854.NS,SELL,2.3354986447331525,1915.25,4473.06377932517,2.236531889662585,4470.827247435507
2026-03-12,WAAREEENER.NS,BUY,3.64847599926994,2739.5,10000.0,5.0,9995.0
2026-03-12,JSL.NS,BUY,13.348914858096828,748.75,10000.0,5.0,9995.0
2026-03-13,BORANA.NS,SELL,26.052391502671707,390.65,10177.366740518702,5.088683370259352,10172.278057148444
2026-03-13,KRN.NS,SELL,10.890765459002996,901.0,9812.5796785617,4.906289839280849,9807.673388722418
2026-03-13,GPIL.NS,SELL,39.404691504041,264.7,10430.42184111965,5.215210920559826,10425.20663019909
2026-03-13,JSL.NS,SELL,13.348914858096828,748.75,9995.0,4.9975000000000005,9990.0025
2026-03-13,ECLERX.NS,BUY,6.177379480840544,1618.0,10000.0,5.0,9995.0
2026-03-14,ECLERX.NS,SELL,6.177379480840544,1618.0,9995.0,4.9975000000000005,9990.0025
2026-03-14,VISHNU.NS,BUY,19.66938895995277,508.15,10000.0,5.0,9995.0
2026-03-16,ANTELOPUS.NS,SELL,18.57288859983276,542.7,10079.506643129238,5.03975332156462,10074.466889807672
2026-03-16,BORANA.NS,BUY,26.164921465968582,382.0,10000.0,5.0,9995.0
2026-03-17,GPIL.NS,BUY,38.46449874927843,259.85,10000.0,5.0,9995.0
2026-03-17,ANTELOPUS.NS,BUY,18.517832329782305,539.75,10000.0,5.0,9995.0
2026-03-18,544037.NS,SELL,7.6239511823035855,1283.1,9782.29176201373,4.8911458810068655,9777.400616132723
2026-03-18,ANTELOPUS.NS,SELL,18.517832329782305,539.75,9994.999999999998,4.9975,9990.0025
2026-03-18,KRN.NS,BUY,11.289958206257769,885.3,10000.0,5.0,9995.0
2026-03-18,ATLANTAELE.NS,BUY,9.273089947580832,1077.85,10000.0,5.0,9995.0
2026-03-19,BORANA.NS,SELL,26.164921465968582,379.85,9938.745418848166,4.969372709424083,9933.776046138742
2026-03-19,TIMKEN.NS,SELL,2.996103117505996,3355.55,10053.573815947244,5.026786907973622,10048.54702903927
2026-03-19,KRN.NS,SELL,11.289958206257769,885.3,9995.000000000002,4.997500000000001,9990.002500000002
2026-03-19,GPIL.NS,SELL,38.46449874927843,259.55,9983.460650375217,4.991730325187608,9978.468920050029
2026-03-19,506854.NS,BUY,5.224231653773782,1913.2,10000.0,5.0,9995.0
2026-03-20,KRN.NS,BUY,11.14456152087863,896.85,10000.0,5.0,9995.0
2026-03-20,GPIL.NS,BUY,38.07619047619048,262.5,10000.0,5.0,9995.0
2026-03-23,GPIL.NS,SELL,38.07619047619048,262.65,10000.711428571429,5.000355714285715,9995.711072857142
2026-03-23,KRN.NS,SELL,11.14456152087863,896.85,9995.0,4.9975000000000005,9990.0025
2026-03-23,506854.NS,SELL,5.224231653773782,1940.8,10139.188793644156,5.069594396822078,10134.119199247334
2026-03-23,POLYCAB.NS,SELL,1.2909267032612206,7171.0,9257.235389086212,4.628617694543106,9252.60677139167
2026-03-23,HBLENGINE.NS,SELL,12.809175957964886,659.5,8447.651544277842,4.223825772138921,8443.427718505704
2026-03-23,VISHNU.NS,SELL,19.66938895995277,513.3,10096.297353143756,5.048148676571878,10091.249204467184
2026-03-24,POLYCAB.NS,BUY,1.4155619759800588,7060.8,10000.0,5.0,9995.0
2026-03-24,GPIL.NS,BUY,38.04720213170918,262.7,10000.0,5.0,9995.0
2026-03-24,506854.NS,BUY,5.141593147971912,1943.95,10000.0,5.0,9995.0
2026-03-24,HBLENGINE.NS,BUY,15.098187311178249,662.0,10000.0,5.0,9995.0
2026-03-24,KRN.NS,BUY,11.157624469747711,895.8,10000.0,5.0,9995.0
2026-03-25,VISHNU.NS,BUY,19.52720523590896,511.85,10000.0,5.0,9995.0
2026-03-25,ALPEXSOLAR.NS,BUY,12.323531224955303,811.05,10000.0,5.0,9995.0
2026-03-25,TIMKEN.NS,BUY,2.9925149700598803,3340.0,10000.0,5.0,9995.0
2026-03-27,VISHNU.NS,SELL,19.52720523590896,513.6,10029.17260916284,5.01458630458142,10024.15802285826
2026-03-27,ALPEXSOLAR.NS,SELL,12.323531224955303,811.05,9994.999999999998,4.9975,9990.0025
2026-03-27,JSLL.NS,SELL,14.077464788732394,594.5,8369.052816901409,4.184526408450704,8364.868290492957
2026-03-27,TIMKEN.NS,SELL,2.9925149700598803,3308.9,9901.932784431136,4.950966392215569,9896.98181803892
2026-03-27,GALLANTT.NS,SELL,17.402280839209542,539.75,9392.881082963351,4.6964405414816754,9388.18464242187
2026-03-28,TIMKEN.NS,BUY,3.011449231696294,3319.0,10000.0,5.0,9995.0
2026-03-28,GALLANTT.NS,BUY,18.41717339229777,542.7,10000.0,5.0,9995.0
2026-03-30,POLYCAB.NS,SELL,1.4155619759800588,7067.0,10003.776484251077,5.0018882421255375,9998.774596008949
2026-03-30,TIMKEN.NS,SELL,3.011449231696294,3319.0,9995.0,4.9975000000000005,9990.0025
2026-03-30,SHREEJISPG.NS,SELL,26.164921465968582,340.5,8909.155759162302,4.454577879581152,8904.70118128272
2026-03-30,KRN.NS,SELL,11.157624469747711,886.45,9890.67621120786,4.94533810560393,9885.730873102257
2026-03-30,506854.NS,SELL,5.141593147971912,1921.2,9878.02875588364,4.939014377941819,9873.089741505695
2026-03-30,HBLENGINE.NS,SELL,15.098187311178249,642.05,9693.791163141994,4.846895581570997,9688.944267560422
2026-03-30,STYLAMIND.NS,SELL,4.513841846181637,2176.0,9822.119857291242,4.911059928645621,9817.208797362597
2026-03-30,ANTELOPUS.NS,BUY,17.541242541242543,569.8,10000.0,5.0,9995.0
2026-03-31,STYLAMIND.NS,BUY,4.618761552680222,2164.0,10000.0,5.0,9995.0
2026-04-01,506854.NS,BUY,5.056407143218495,1976.7,10000.0,5.0,9995.0
2026-04-01,TIMKEN.NS,BUY,3.0015015015015014,3330.0,10000.0,5.0,9995.0
2026-04-01,JSLL.NS,BUY,17.084009913682593,585.05,10000.0,5.0,9995.0
2026-04-01,KRN.NS,BUY,11.237913199910052,889.4,10000.0,5.0,9995.0
2026-04-01,SHREEJISPG.NS,BUY,29.64555835681448,337.15,10000.0,5.0,9995.0
2026-04-01,HBLENGINE.NS,BUY,15.125605326876514,660.8,10000.0,5.0,9995.0
2026-04-01,POLYCAB.NS,BUY,1.442300754700645,6929.9,10000.0,5.0,9995.0
2026-04-01,ALPEXSOLAR.NS,BUY,11.91583214115403,838.8,10000.0,5.0,9995.0
2026-04-02,KRN.NS,SELL,11.237913199910052,889.4,9995.0,4.9975000000000005,9990.0025
2026-04-02,SHREEJISPG.NS,SELL,29.64555835681448,337.15,9995.000000000002,4.997500000000001,9990.002500000002
2026-04-03,VISHNU.NS,BUY,19.7081731243222,507.15,10000.0,5.0,9995.0
2026-04-03,SHREEJISPG.NS,BUY,29.898294944660485,334.3,10000.0,5.0,9995.0
2026-04-06,KRN.NS,BUY,11.180089485458613,894.0,10000.0,5.0,9995.0
2026-04-06,TAC.NS,BUY,18.83894072189237,530.55,10000.0,5.0,9995.0
2026-04-07,TIMKEN.NS,SELL,3.0015015015015014,3314.6,9948.776876876876,4.974388438438439,9943.802488438438
2026-04-07,AIIL.NS,SELL,20.627386234650707,424.6,8758.38819523269,4.379194097616345,8754.009001135073
2026-04-07,STYLAMIND.NS,SELL,4.618761552680222,2210.1,10207.924907578556,5.103962453789279,10202.820945124768
2026-04-07,WAAREEENER.NS,SELL,3.64847599926994,3084.55,11253.906643548096,5.626953321774048,11248.27969022632
2026-04-07,523606.NS,SELL,10.833513982224147,855.0,9262.654454801646,4.631327227400823,9258.023127574246
2026-04-07,VISHNU.NS,SELL,19.7081731243222,513.0,10110.292812777288,5.055146406388644,10105.2376663709
2026-04-07,POLYCAB.NS,SELL,1.442300754700645,7045.25,10161.36939205472,5.08068469602736,10156.288707358692
2026-04-07,507944.NS,BUY,20.623130093882185,484.65,10000.0,5.0,9995.0
2026-04-08,507944.NS,SELL,20.623130093882185,484.65,9995.0,4.9975000000000005,9990.0025
2026-04-08,POLYCAB.NS,BUY,1.314266929651545,7605.0,10000.0,5.0,9995.0
2026-04-08,SHILCTECH.NS,BUY,2.327124563445868,4295.0,10000.0,5.0,9995.0
2026-04-08,SAFEENTP.NS,BUY,42.74107333760958,233.85,10000.0,5.0,9995.0
2026-04-08,TIMKEN.NS,BUY,2.90396153231547,3441.85,10000.0,5.0,9995.0
2026-04-08,523606.NS,BUY,10.89017215079538,917.8,10000.0,5.0,9995.0
2026-04-08,WAAREEENER.NS,BUY,3.1984,3125.0,10000.0,5.0,9995.0
2026-04-08,ACCENTMIC.NS,BUY,23.553670319311887,424.35,10000.0,5.0,9995.0
2026-04-09,TIMKEN.NS,SELL,2.90396153231547,3441.85,9995.0,4.9975000000000005,9990.0025
2026-04-09,ALPEXSOLAR.NS,SELL,11.91583214115403,902.4,10752.846924177396,5.376423462088698,10747.470500715308
2026-04-09,523606.NS,SELL,10.89017215079538,917.8,9994.999999999998,4.9975,9990.0025
2026-04-10,ITDC.NS,BUY,16.32769745977293,612.15,10000.0,5.0,9995.0
2026-04-10,SRM.NS,BUY,21.155677849507885,472.45,10000.0,5.0,9995.0
2026-04-10,TIMKEN.NS,BUY,2.8508271534512266,3506.0,10000.0,5.0,9995.0
2026-04-11,TIMKEN.NS,SELL,2.8508271534512266,3506.0,9995.0,4.9975000000000005,9990.0025
2026-04-13,POLYCAB.NS,SELL,1.314266929651545,7728.0,10156.65483234714,5.07832741617357,10151.576504930968
2026-04-13,INA.NS,BUY,76.16979119036732,131.22,10000.0,5.0,9995.0
2026-04-15,523606.NS,BUY,10.29881504379186,970.5,10000.0,5.0,9995.0
2026-04-15,ALPEXSOLAR.NS,BUY,9.782715082705296,1021.7,10000.0,5.0,9995.0
2026-04-15,INOXINDIA.NS,BUY,6.818569430705734,1465.85,10000.0,5.0,9995.0
2026-04-15,PREMIERENE.NS,BUY,10.007509386733418,998.75,10000.0,5.0,9995.0
2026-04-15,NAVA.NS,BUY,15.992,625.0,10000.0,5.0,9995.0
2026-04-15,MONOLITH.NS,BUY,21.45079944200021,465.95,10000.0,5.0,9995.0
2026-04-16,POLYCAB.NS,BUY,1.2651178097450146,7900.45,10000.0,5.0,9995.0
2026-04-16,507944.NS,BUY,20.46897399139873,488.3,10000.0,5.0,9995.0
