Date,Portfolio_Value,Cash_Invested,Total_Return_Pct,Nifty_Value,Nifty_Return_Pct,Alpha_Pct,Total_Deployed,Realized_PnL,Total_Value,Cash_From_Sales
2026-02-11,479760.0,479760.0,-0.05,25935.150390625,0.0,0.0,480000.0,0.0,479760.0,0.0
2026-02-12,504196.3870056,499750.0,6.833278901119996,25807.19921875,-0.4933504141979126,1.3830726764490326,500000.0,0.0,534166.3945056,29970.0075
2026-02-12,474211.3870056,469765.0,0.8362789011199958,25807.19921875,-0.4933504141979126,1.4398634591459127,500000.0,0.0,504181.3945056,29970.0075
2026-02-16,476897.6204123178,479760.0,-0.6435484305155222,25683.0,-0.9722341564525762,-10.825943903692576,540000.0,-607.7819371016085,536524.8384752162,59627.21806289839
2026-02-17,500108.52073791553,499750.0,-0.1172712621596539,25725.0,-0.8102917756781732,-14.599352367837412,590000.0,-1025.4211846574726,589308.099553258,89199.57881534254
2026-02-18,546564.905317749,549725.0,-0.087727941184849,25819.0,-0.4478493044211761,0.360121363236327,680000.0,2563.544682193982,679403.449999943,132838.54468219398
2026-02-19,529605.3947263772,539730.0,-0.9886625771638512,25454.0,-1.8552057087701543,0.8665431316063033,710000.0,3120.1009757594875,702980.4957021367,173375.10097575947
2026-02-20,523852.87012608605,539730.0,-1.796665789349747,25571.0,-1.4040805051843177,-0.3925852841654296,740000.0,2596.8030327258093,726704.6731588119,202851.80303272585
2026-02-21,514055.4716419824,529735.0,-1.770638219634027,25571.0,-1.4040805051843177,-0.3665577144497094,740000.0,2576.805532725817,726897.2771747082,212841.80553272585
2026-02-22,514055.4716419824,529735.0,-1.770638219634027,25571.0,-1.4040805051843177,-0.3665577144497094,740000.0,2576.805532725819,726897.2771747082,212841.80553272585
2026-02-23,523086.1474345231,539730.0,-1.8486334260119928,25713.0,-0.8565610273280027,-0.9920723986839906,760000.0,2604.2385277858048,745950.3859623089,222864.2385277858
2026-02-24,541843.5579583424,559720.0,-1.9402348057232075,25425.0,-1.9670230669239088,0.0267882612007015,790000.0,2563.587076444275,774672.1450347867,232828.58707644427
2026-02-25,567165.3369234583,579710.0,-1.2468703949706452,25482.0,-1.747244121587219,0.5003737266165738,840000.0,2095.951758788284,829526.2886822466,262360.9517587883
2026-02-26,551281.0661165987,559720.0,-1.1089402617703878,25497.0,-1.689407557024932,0.5804672952545442,870000.0,-1193.846394001046,860352.2197225976,309071.1536059989
2026-02-27,488128.7143170447,489755.0,-1.5596228833717891,25179.0,-2.915542725745412,1.355919842373623,890000.0,-12244.357979053608,876119.3563379911,387990.6420209464
2026-02-28,498154.6968831201,499750.0,-1.539406788437058,25179.0,-2.915542725745412,1.376135937308354,900000.0,-12254.357979053571,886145.3389040665,387990.6420209464
2026-03-01,498154.6968831201,499750.0,-1.539406788437058,25179.0,-2.915542725745412,1.376135937308354,900000.0,-12259.357979053571,886145.3389040665,387990.6420209464
2026-03-02,449800.6445385192,459770.0,-2.428560831324962,24866.0,-4.122399039611796,1.6938382082868344,920000.0,-12363.404186708794,897657.2403518104,447856.5958132912
2026-03-03,439239.79014182754,449775.0,-2.486873995024311,24866.0,-4.122399039611796,1.6355250445874852,920000.0,-12344.030896051128,897120.7592457763,457880.96910394885
2026-03-04,383382.9315874674,399800.0,-3.203235096830548,24480.0,-5.6107266343479765,2.4074915375174286,940000.0,-13683.34149767461,909889.5900897929,526506.6585023254
2026-03-05,421091.5125580795,429785.0,-2.315865018200929,24766.0,-4.507976136693708,2.19211111849278,990000.0,-14208.576238268715,967072.9363198108,545981.4237617312
2026-03-06,422408.5258790759,429785.0,-2.182833369615431,24450.0,-5.72639976347255,3.5435663938571187,990000.0,-14233.576238268754,968389.9496408072,545981.4237617312
2026-03-07,422374.8313895605,429785.0,-2.186236853404864,24450.0,-5.72639976347255,3.5401629100676857,990000.0,-14233.576238268754,968356.2551512918,545981.4237617312
2026-03-08,422374.8313895605,429785.0,-2.186236853404864,24450.0,-5.72639976347255,3.5401629100676857,990000.0,-14233.576238268754,968356.2551512918,545981.4237617312
2026-03-09,346394.51662789687,359820.0,-2.924724084347712,24028.0,-7.353535113158218,4.428811028810506,990000.0,-15529.285062938956,961045.2315649576,614650.7149370608
2026-03-10,413907.6291974397,419790.0,-2.042062463380906,24262.0,-6.451284705986544,4.409222242605638,1050000.0,-15529.28506293916,1028558.3441345004,614650.7149370608
