Stock,Shares,Avg_Buy_Price,Last_Price,Investment,Current_Value,Profit_Loss_Pct
KINGFA.NS,2.2299317299540404,4482.2,6228.5,9995.0,13889.12978001874,38.960778189282046
GVT&D.NS,2.7650215779572864,3614.8,4286.3,9995.0,11851.711989598318,18.576408100033195
544310.NS,21.50618612157073,464.75,1056.4,9995.0,22719.135018827325,127.30500268961806
HINDCOPPER.NS,16.726633754497534,597.55,495.7,9995.0,8291.392352104427,-17.044598778344902
NATIONALUM.NS,27.11243727112437,368.65,358.4,9995.0,9717.097517970973,-2.7804150278041715
QPOWER.NS,12.562056180481369,795.65,1500.1,9995.0,18844.3404763401,88.53767360020112
HAPPYFORGE.NS,7.909313919442906,1263.7,2084.8,9995.0,16489.337659254572,64.97586452480813
524717.NS,39.38916256157636,253.75,397.0,9995.0,15637.497536945815,56.45320197044338
ATLANTAELE.NS,9.273089947580832,1077.85,1587.2,9995.0,14718.248364800298,47.256111703854906
SHREEJISPG.NS,29.898294944660485,334.3,724.85,9995.0,21671.779090637152,116.82620400837571
ACCENTMIC.NS,23.553670319311887,424.35,674.25,9995.0,15881.06221279604,58.89006716154117
MONOLITH.NS,21.45079944200021,465.95,1179.55,9995.0,25302.290481811346,153.1494795578924
CGPOWER.NS,12.54628757923806,796.65,886.7,9995.0,11124.793196510389,11.30358375698238
KPL.NS,6.094140601182855,1640.1,3642.1,9995.0,22195.469483568075,122.06572769953053
SILVERTUC.NS,61.16142455023866,163.42,147.51,9995.0,9021.921735405704,-9.735650471178554
NETWEB.NS,2.458915567801614,4064.8,4661.5,9995.0,11462.234919307224,14.679689037591038
NITTAGELA.NS,8.853751439454335,1128.9,1699.5,9995.0,15046.950571352643,50.54477810257772
STYLAMIND.NS,4.301514890686866,2323.6,3319.2,9995.0,14277.588225167843,42.847305904630744
APCOTEXIND.NS,19.546299012418107,511.35,602.85,9995.0,11783.486359636256,17.893810501613363
GVPIL.NS,14.809601422432952,674.9,659.4,9995.0,9765.451177952287,-2.2966365387465006
PARKHOSPS.NS,40.5756505500751,246.33,285.0,9995.0,11564.060406771405,15.698453294361228
544037.NS,6.066583715213499,1647.55,2440.0,9995.0,14802.464265120936,48.098691997207965
RPEL.NS,11.64172150719236,858.55,1698.4,9995.0,19772.299807815503,97.82190903267137
EMMVEE.NS,38.420142225639054,260.15,317.6,9995.0,12202.237170862965,22.083413415337322
SEAMECLTD.NS,6.4004866803278695,1561.6,1730.1,9995.0,11073.482005635247,10.79021516393444
KRISHNADEF.NS,8.62381363244176,1159.0,1015.5,9995.0,8757.482743744607,-12.381363244176013
ANONDITA.NS,9.061239291056616,1103.05,1089.7,9995.0,9874.032455464394,-1.2102805856488852
MAYURUNIQ.NS,13.365873228135866,747.8,733.1,9995.0,9798.521663546404,-1.9657662476597906
POWERINDIA.NS,0.2776774552021114,35995.0,30715.0,9995.0,8528.863036532852,-14.668703986664816
UNIPARTS.NS,16.456738289289536,607.35,850.35,9995.0,13993.987404297357,40.009878982464805
SKMEGGPROD.NS,50.40851321363728,198.28,223.2,9995.0,11251.18014928384,12.568085535606208
CPPLUS.NS,3.7865585694802246,2639.6,3800.1,9995.0,14389.301219881801,43.9649946961661
RUBICON.NS,9.93933969769292,1005.6,1676.1,9995.0,16659.327267303102,66.67661097852029
515008.NS,23.2983682983683,429.0,461.55,9995.0,10753.36188811189,7.587412587412598
TINNARUBR.NS,12.438553916993342,803.55,982.8,9995.0,12224.610789621056,22.30726152697405
GOLDIAM.NS,23.14997104806022,431.75,321.7,9995.0,7447.345686160972,-25.489287782281423
HSCL.NS,15.56853582554517,642.0,674.9,9995.0,10507.204828660435,5.1246105919003
ITDC.NS,16.96511923958245,589.15,685.75,9995.0,11633.830518543664,16.396503437155214
RAMCOSYS.NS,17.776789684304134,562.25,581.35,9995.0,10334.536682970209,3.3970653623832803
INOXINDIA.NS,6.330757537370155,1578.8,2064.8,9995.0,13071.748163161898,30.782873068153048
CAPLIPOINT.NS,4.431979425328131,2255.2,2867.4,9995.0,12708.257804185883,27.146151117417546
526433.NS,3.0213717844079686,3308.1,6877.85,9995.0,20780.541927390346,107.90937396088391
BLUEJET.NS,20.05216170127395,498.45,573.45,9995.0,11498.912127595548,15.046644598254606
VIJAYA.NS,7.81347717323327,1279.2,1526.5,9995.0,11927.272904940586,19.33239524702938
VADILALIND.NS,1.663255287637495,6009.3,7413.5,9995.0,12330.54307490057,23.36711430615878
OFSS.NS,1.066360823642377,9373.0,10925.0,9995.0,11649.991998292968,16.55819908247091
SUDEEPPHRM.NS,12.150498419645029,822.6,1143.4,9995.0,13892.879893022127,38.9982980792609
AGI.NS,14.236877715262446,702.05,821.35,9995.0,11693.45951143081,16.993091660138173
VIVIDEL.NS,8.652181440443213,1155.2,1790.0,9995.0,15487.404778393351,54.95152354570636
MACPOWER.NS,8.455649084218097,1182.05,2061.1,9995.0,17427.93832748192,74.36656655809824
STYL.NS,30.53773296669722,327.3,370.35,9995.0,11309.649404216316,13.153070577451883
LODHA.NS,10.072558702005445,992.3,1158.0,9995.0,11664.022976922304,16.69857905875242
ARROWGREEN.NS,15.29573800596832,653.45,895.95,9995.0,13704.216466447317,37.11072002448541
CORONA.NS,4.941170654538264,2022.8,2111.0,9995.0,10430.811251730276,4.360292663634579
FERMENTA.NS,24.88484999377568,401.65,478.05,9995.0,11896.202539524465,19.02153616332632
MONARCH.NS,27.74077157923952,360.3,365.6,9995.0,10142.026089369969,1.4709963918956352
SOLARINDS.NS,0.5480676434462186,18236.8,19480.0,9995.0,10676.357694332339,6.816985436041407
MENONBE.NS,55.52777777777778,180.0,293.25,9995.0,16283.520833333334,62.91666666666668
ABB.NS,1.3876066388543742,7203.05,7129.0,9995.0,9892.247728392833,-1.0280367344388908
MPSLTD.NS,4.860317537503952,2056.45,2617.0,9995.0,12719.450995647841,27.25813902599141
BEPL.NS,88.74977801456224,112.62,127.09,9995.0,11279.209287870715,12.848517137275792
ADOR.NS,6.753378378378378,1480.0,1612.9,9995.0,10892.523986486487,8.979729729729735
PRUDENT.NS,3.2351513189836543,3089.5,3219.6,9995.0,10415.893186599773,4.211037384690074
TAALTECH.NS,2.546431938039796,3925.1,1050.5,9995.0,2675.0267509108057,-73.23635066622506
DEEPINDS.NS,19.7159483183746,506.95,766.0,9995.0,15102.416411874943,51.0997139757373
512014.NS,9.897509531118482,1009.85,1408.0,9995.0,13935.693419814823,39.42664752190918
NGLFINE.NS,3.035410592808552,3292.8,2894.9,9995.0,8787.210125121477,-12.0839407191448
ALIVUS.NS,7.482407546039827,1335.8,1370.0,9995.0,10250.898338074563,2.5602635125018818
ELANTAS.NS,0.8560221306771952,11676.1,13849.0,9995.0,11855.050487748476,18.60980978237595
MANYAVAR.NS,19.817586993159512,504.35,524.45,9995.0,10393.333498562508,3.985327649449804
ROLEXRINGS.NS,65.41230366492147,152.8,181.41,9995.0,11866.446007853403,18.723821989528794
ANTHEM.NS,11.20766988113927,891.8,885.6,9995.0,9925.512446736937,-0.6952231442027322
DIVISLAB.NS,1.1707859903947522,8537.0,9602.0,9995.0,11241.887079770411,12.475108351880053
TIIL.NS,3.4304051619103184,2913.65,3033.1,9995.0,10404.761896590186,4.099668800302007
KENNAMET.NS,2.83940797136445,3520.1,4266.4,9995.0,12114.050169029288,21.201102241413583
SHUKRAPHAR.NS,241.250301713734,41.43,55.76,9995.0,13452.116823557806,34.588462466811464
KMCSHIL.NS,73.43864805290228,136.1,157.92,9995.0,11597.431300514327,16.032329169728133
SUNSHIEL.NS,7.9483101391650095,1257.5,1149.8,9995.0,9138.966998011927,-8.564612326043752
SYNCOMF.NS,645.671834625323,15.48,20.03,9995.0,12932.80684754522,29.392764857881144
ENGINERSIN.NS,39.21914851873651,254.85,296.65,9995.0,11634.360408083185,16.40180498332351
SHRIAHIMSA.NS,22.93746414228342,435.75,453.55,9995.0,10403.286861732646,4.084911072862889
DANISH.NS,11.75191064079953,850.5,950.45,9995.0,11169.603468547914,11.751910640799535
SUPRIYA.NS,11.881835473133618,841.2,961.75,9995.0,11427.355266286257,14.330718021873503
RPGLIFE.NS,3.7682853264967577,2652.4,2899.9,9995.0,10927.650618307947,9.331171768963955
SHANTIGEAR.NS,17.14996568291009,582.8,666.25,9995.0,11426.164636238847,14.318805765271108
SACHEEROME.NS,21.945328795696565,455.45,480.85,9995.0,10552.411351410694,5.576901965089483
EMCURE.NS,5.1852043992529575,1927.6,1952.1,9995.0,10122.037507781697,1.2710105831085248
ACE.NS,8.914555833036033,1121.2,1241.0,9995.0,11062.963788797717,10.684980378166252
544844.NS,14.82168013642767,674.35,761.25,9995.0,11283.004003855563,12.886483280195732
530477.NS,30.90599876314162,323.4,404.9,9995.0,12513.838899196042,25.200989486703772
523160.NS,5.005508814102564,1996.8,1960.15,9995.0,9811.54810196314,-1.8354366987179527
POWERICA.NS,17.954014729656905,556.7,562.85,9995.0,10105.41719058739,1.104724268007904
GRAUWEIL.NS,126.37501580477937,79.09,86.69,9995.0,10955.450120116322,9.609305854090266
INDOMIM.NS,9.465858509328534,1055.9,1311.15,9995.0,12411.160384506107,24.173690690406275
ENRIN.NS,3.09634448574969,3228.0,3215.4,9995.0,9955.986059479554,-0.39033457249070874
NAM-INDIA.NS,8.653679653679653,1155.0,1144.9,9995.0,9907.597835497836,-0.8744588744588688
LALPATHLAB.NS,5.2046448656529885,1920.4,1961.3,9995.0,10207.869975005206,2.1297646323682398
THEJO.NS,4.610452511647216,2167.9,2168.8,9995.0,9999.149407260482,0.041514830019828856
ETL.NS,8.940071556350626,1118.0,1145.0,9995.0,10236.381932021466,2.415026833631477
PREMIERPOL.NS,103.33953680727876,96.72,100.51,9995.0,10386.656844499588,3.918527708850308
JAGSNPHARM.NS,40.96815182194532,243.97,243.97,9995.0,9995.0,0.0
544023.NS,7.124527763917599,1402.9,1402.9,9995.0,9995.0,0.0
UNIHEALTH.NS,15.236280487804878,656.0,656.0,9995.0,9995.0,0.0
