Date,Portfolio_Value
2023-05-31,115598.83234246893
2023-06-01,115977.84562481851
2023-06-02,116979.51528741984
2023-06-05,118884.39436295004
2023-06-06,120590.20543649835
2023-06-07,121762.59694039964
2023-06-08,121104.9464720626
2023-06-09,120966.89952451541
2023-06-12,121072.03575456212
2023-06-13,123256.19833496556
2023-06-14,123414.23130811153
2023-06-15,122643.91937992227
2023-06-16,122972.745970118
2023-06-19,123587.24185474773
2023-06-20,124907.73360846998
2023-06-21,125028.68770210397
2023-06-22,124408.49713362961
2023-06-23,123040.90856584758
2023-06-26,123554.1017529251
2023-06-27,124376.98407983342
2023-06-28,125404.78675113263
2023-06-30,126818.86745202815
2023-07-03,126856.73206071413
2023-07-04,125966.08894356599
2023-07-05,125838.16811528188
2023-07-06,127660.65442846202
2023-07-07,126814.67637116142
2023-07-10,126783.5040182608
2023-07-11,128234.82644582057
2023-07-12,129049.13401881652
2023-07-13,128725.00036446964
2023-07-14,131014.87606629936
2023-07-17,132504.3295609603
2023-07-18,131859.10103804705
2023-07-19,133081.54605185363
2023-07-20,134089.55001545307
2023-07-21,135348.92686378447
2023-07-24,135283.12724829707
2023-07-25,135545.76085461574
2023-07-26,136138.31355857867
2023-07-27,137155.85767798015
2023-07-28,139958.88352656915
2023-07-31,142036.07872855596
2023-08-01,142772.03886971605
2023-08-02,140206.32858911878
2023-08-03,140720.54203646636
2023-08-04,141127.01387969693
2023-08-07,141125.2540306964
2023-08-08,143314.00759264876
2023-08-09,144665.9930220144
2023-08-10,145908.41566507076
2023-08-11,147214.877114786
2023-08-14,145332.0524868621
2023-08-16,147410.83855689428
2023-08-17,146585.07253250334
2023-08-18,145683.913771543
2023-08-21,146506.8984059652
2023-08-22,148588.7226796037
2023-08-23,148005.57091705367
2023-08-24,147837.4229217749
2023-08-25,147206.82193819495
2023-08-28,148893.31416192773
2023-08-29,149131.01089294231
2023-08-30,149874.45951682242
2023-08-31,151049.7794899012
2023-09-01,153538.63483327843
2023-09-04,155060.97867828258
2023-09-05,154909.023403177
2023-09-06,154714.51046613895
2023-09-07,155542.84736657742
2023-09-08,156712.7076701165
2023-09-11,157702.6067795319
2023-09-12,150360.40454696515
2023-09-13,152119.15214409548
2023-09-14,153841.49985554727
2023-09-15,154407.3520816052
2023-09-18,153387.01328342044
2023-09-20,152652.57941925072
2023-09-21,152026.42838165342
2023-09-22,151735.4366852969
2023-09-25,152289.92199679336
2023-09-26,152810.91647117666
2023-09-27,153857.53165580897
2023-09-28,152517.27264739183
2023-09-29,154553.2671499336
2023-10-03,154341.31445424567
2023-10-04,153352.6174827071
2023-10-05,154589.4918702038
2023-10-06,156400.29460445483
2023-10-09,153498.3779778664
2023-10-10,155932.1409800714
2023-10-11,156725.977422962
2023-10-12,158165.3979315195
2023-10-13,158588.8630229245
2023-10-16,158696.8709103922
2023-10-17,159621.90528938838
